,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Tackles Done,Tackles Won,Def 3rd Tackle,Mid 3rd Tackle,Att 3rd Tackle,Dribblers Tackled,Drib Tackle Attempt,Drib Tack Won%,Drib Tack Lost,Blocks Total,Shots Block,Pass Block,Intercept,Tack + Intercept,Clearance,Errors to shot
1086,1087,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,27-222,1997,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
1087,1088,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,20-097,2004,5,5,433,4.8,2,0,2,2,0,0,1,0,1.8,1.8,0.2,1.9,2,19,4,0.42,0.00,0.42,0.42,0.42,0.36,0.03,0.40,0.36,0.40,3,1,1,2,0,2,6,33.3,4,9,4,5,5,8,8,0
1088,1089,Juanmi Latasa,es ESP,FW,Valladolid,es La Liga,23-193,2001,6,3,368,4.1,0,0,0,0,0,0,2,0,0.9,0.9,0.1,1.1,1,5,9,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.26,0.23,0.26,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,4,0
1089,1090,Toni Lato,es ESP,DF,Mallorca,es La Liga,26-316,1997,3,2,143,1.6,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,6,7,11,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,4,3,1,0,3,1,3,33.3,2,2,0,2,2,6,7,0
1090,1091,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,20-270,2004,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.55,0.00,0.55,3,1,0,2,1,0,1,0.0,1,0,0,0,3,6,1,0
1091,1092,Valentino Lazaro,at AUT,DF,Torino,it Serie A,28-192,1996,6,6,508,5.6,0,2,2,0,0,0,1,0,0.4,0.4,1.1,1.6,7,21,43,0.00,0.35,0.35,0.00,0.35,0.07,0.20,0.28,0.07,0.28,9,2,4,4,1,7,11,63.6,4,6,2,4,0,9,9,1
1092,1093,Darko Lazović,rs SRB,"MF,DF",Hellas Verona,it Serie A,34-017,1990,6,6,425,4.7,1,3,4,0,1,1,0,0,1.4,0.6,1.5,2.1,5,10,24,0.21,0.64,0.85,0.00,0.64,0.30,0.31,0.61,0.14,0.44,9,3,1,6,2,5,9,55.6,4,5,0,5,2,11,6,0
1093,1094,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,30-308,1993,6,6,460,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,26,24,27,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,6,5,3,3,0,4,7,57.1,3,1,1,0,1,7,5,0
1094,1095,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,27-060,1997,5,5,433,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,1,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,6,3,3,3,0,3,6,50.0,3,7,6,1,9,15,27,0
1095,1096,Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,26-164,1998,2,1,102,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,7,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
1096,1097,Enzo Le Fée,fr FRA,MF,Roma,it Serie A,24-242,2000,2,1,89,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,5,1,0.00,0.00,0.00,0.00,0.00,0.18,0.10,0.28,0.18,0.28,2,2,0,2,0,0,2,0.0,2,3,1,2,1,3,0,0
1097,1098,Robin Le Normand,es ESP,DF,Atlético Madrid,es La Liga,27-326,1996,7,7,630,7.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,4,28,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,11,8,11,0,0,3,5,60.0,2,3,2,1,2,13,25,0
1098,1099,Rafael Leão,pt POR,FW,Milan,it Serie A,25-114,1999,6,5,440,4.9,1,3,4,1,0,0,0,0,1.9,1.9,1.7,3.6,29,26,69,0.20,0.61,0.82,0.20,0.82,0.39,0.34,0.73,0.39,0.73,2,2,0,1,1,0,1,0.0,1,4,0,4,2,4,0,0
1099,1100,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,33-159,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
1100,1101,Jordan Lefort,fr FRA,DF,Angers,fr Ligue 1,31-054,1993,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,1,26,4,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,15,12,12,3,0,9,13,69.2,4,8,1,7,8,23,25,1
1101,1102,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,25-253,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,4,19,5,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,17,9,11,5,1,7,12,58.3,5,13,6,7,9,26,19,0
1102,1103,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,26-137,1998,4,2,193,2.1,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.5,1,8,1,0.47,0.00,0.47,0.47,0.47,0.20,0.01,0.21,0.20,0.21,3,0,1,1,1,1,1,100.0,0,4,1,3,3,6,14,0
1103,1104,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,33-135,1991,8,8,720,8.0,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.5,4,31,1,0.00,0.12,0.12,0.00,0.12,0.05,0.01,0.06,0.05,0.06,11,8,7,3,1,5,8,62.5,3,10,9,1,3,14,32,0
1104,1105,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,31-151,1993,6,3,318,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,18,8,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,4,3,3,1,0,3,6,50.0,3,2,1,1,3,7,13,2
1105,1106,Nunzio Lella,it ITA,MF,Venezia,it Serie A,24-066,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1106,1107,Félix Lemaréchal,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,21-056,2003,2,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
1107,1108,Mario Lemina,ga GAB,"MF,FW",Wolves,eng Premier League,31-031,1993,6,6,539,6.0,1,1,2,1,0,0,2,0,0.8,0.8,0.2,1.0,3,17,9,0.17,0.17,0.33,0.17,0.33,0.13,0.04,0.17,0.13,0.17,20,10,12,8,0,9,11,81.8,2,5,4,1,13,33,9,1
1108,1109,Bernd Leno,de GER,GK,Fulham,eng Premier League,32-212,1992,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,2
1109,1110,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,31-334,1992,6,6,540,6.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.17,0.17,0.00,0.17,0.00,0.01,0.01,0.00,0.01,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1
1110,1111,Esteban Lepaul,fr FRA,FW,Angers,fr Ligue 1,24-167,2000,3,1,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,1,1,0,0,1,0,3,0.0,3,0,0,0,0,1,2,0
1111,1112,Johann Lepenant,fr FRA,MF,Nantes,fr Ligue 1,21-346,2002,6,5,444,4.9,2,1,3,2,0,0,0,0,0.3,0.3,0.7,1.0,9,19,17,0.41,0.20,0.61,0.41,0.61,0.06,0.13,0.19,0.06,0.19,11,5,5,4,2,3,10,30.0,7,5,2,3,6,17,3,0
1112,1113,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,29-343,1994,4,2,214,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.8,2,17,7,0.00,0.00,0.00,0.00,0.00,0.03,0.32,0.35,0.03,0.35,3,2,1,1,1,2,3,66.7,1,1,1,0,4,7,4,0
1113,1114,Louis Leroux,fr FRA,FW,Nantes,fr Ligue 1,18-253,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1114,1115,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,36-042,1988,8,8,645,7.2,7,2,9,6,1,2,1,0,8.0,6.4,1.4,7.8,6,13,34,0.98,0.28,1.26,0.84,1.12,1.12,0.19,1.31,0.90,1.09,2,0,0,1,1,1,2,50.0,1,1,0,1,1,3,4,0
1115,1116,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,23-219,2001,5,5,420,4.7,1,0,1,1,0,0,1,0,0.2,0.2,1.2,1.5,11,14,42,0.21,0.00,0.21,0.21,0.21,0.05,0.26,0.31,0.05,0.31,2,1,1,0,1,1,3,33.3,2,5,0,5,2,4,5,0
1116,1117,Rico Lewis,eng ENG,"MF,DF",Manchester City,eng Premier League,19-316,2004,5,5,395,4.4,0,1,1,0,0,0,0,0,0.6,0.6,0.1,0.7,10,13,25,0.00,0.23,0.23,0.00,0.23,0.14,0.02,0.17,0.14,0.17,10,4,4,5,1,3,4,75.0,1,6,2,4,3,13,12,0
1117,1118,Keane Lewis-Potter,eng ENG,"DF,MF",Brentford,eng Premier League,23-223,2001,6,4,368,4.1,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.3,3,13,22,0.00,0.24,0.24,0.00,0.24,0.03,0.03,0.06,0.03,0.06,6,4,2,3,1,3,7,42.9,4,6,2,4,3,9,6,0
1118,1119,Myles Lewis-Skelly,eng ENG,DF,Arsenal,eng Premier League,18-006,2006,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
1119,1120,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,28-083,1996,5,5,405,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,11,27,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,2,2,1,1,0,1,4,25.0,3,2,2,0,4,6,12,1
1120,1121,Matthijs de Ligt,nl NED,DF,Manchester Utd,eng Premier League,25-051,1999,6,4,356,4.0,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,0,6,0,0.25,0.00,0.25,0.25,0.25,0.28,0.00,0.29,0.28,0.29,4,2,4,0,0,2,4,50.0,2,7,5,2,6,10,12,0
1121,1122,Jesper Lindstrøm,dk DEN,FW,Everton,eng Premier League,24-216,2000,4,2,149,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.1,3,2,10,0.00,0.00,0.00,0.00,0.00,0.31,0.33,0.64,0.31,0.64,8,5,2,6,0,2,3,66.7,1,4,1,3,1,9,0,0
1122,1123,Karol Linetty,pl POL,MF,Torino,it Serie A,29-243,1995,5,4,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,8,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,11,7,4,7,0,4,9,44.4,5,4,1,3,3,14,7,0
1123,1124,Samuel Lino,br BRA,"DF,MF",Atlético Madrid,es La Liga,24-284,1999,7,6,417,4.6,0,1,1,0,0,0,1,0,2.0,2.0,0.9,2.9,13,18,47,0.00,0.22,0.22,0.00,0.22,0.43,0.20,0.62,0.43,0.62,9,3,6,2,1,6,17,35.3,11,7,1,6,4,13,3,0
1124,1125,Pol Lirola,es ESP,"DF,FW",Marseille,fr Ligue 1,27-050,1997,3,1,133,1.5,1,1,2,1,0,0,0,0,0.4,0.4,0.1,0.5,1,0,6,0.68,0.68,1.35,0.68,1.35,0.25,0.06,0.31,0.25,0.31,3,2,1,2,0,1,3,33.3,2,0,0,0,0,3,2,0
1125,1126,Dailon Livramento,cv CPV,"FW,MF",Hellas Verona,it Serie A,23-151,2001,4,2,166,1.8,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,5,1,9,0.54,0.00,0.54,0.54,0.54,0.25,0.00,0.25,0.25,0.25,2,1,0,1,1,0,3,0.0,3,3,0,3,2,4,0,0
1126,1127,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,21-325,2002,6,4,330,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,10,5,6,4,0,6,8,75.0,2,11,3,8,3,13,16,0
1127,1128,Diego Llorente,es ESP,DF,Betis,es La Liga,31-047,1993,8,8,720,8.0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,1,20,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,11,5,6,5,0,4,9,44.4,5,10,10,0,12,23,34,0
1128,1129,Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,es La Liga,29-246,1995,8,7,629,7.0,2,1,3,2,0,0,0,1,0.2,0.2,1.4,1.6,14,33,47,0.29,0.14,0.43,0.29,0.43,0.02,0.21,0.23,0.02,0.23,16,12,10,4,2,9,13,69.2,4,6,1,5,5,21,13,1
1129,1130,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,29-076,1995,6,6,540,6.0,1,0,1,1,0,0,1,0,0.0,0.0,0.5,0.5,3,23,3,0.17,0.00,0.17,0.17,0.17,0.01,0.08,0.09,0.01,0.09,10,6,5,5,0,6,12,50.0,6,4,3,1,1,11,25,0
1130,1131,Giovani Lo Celso,ar ARG,MF,Betis,es La Liga,28-176,1996,5,4,368,4.1,5,0,5,4,1,1,1,0,2.0,1.2,1.4,2.6,5,41,23,1.22,0.00,1.22,0.98,0.98,0.49,0.34,0.83,0.30,0.64,9,5,3,2,4,5,8,62.5,3,3,0,3,0,9,1,0
1131,1132,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,29-312,1994,6,6,518,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,9,36,10,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,12,6,1,6,5,5,7,71.4,2,6,2,4,4,16,6,0
1132,1133,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,26-268,1998,5,5,389,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,38,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,8,6,4,4,0,3,6,50.0,3,7,1,6,2,10,9,0
1133,1134,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,28-253,1996,6,4,409,4.5,0,0,0,0,0,0,1,0,0.3,0.3,1.1,1.4,10,25,18,0.00,0.00,0.00,0.00,0.00,0.07,0.23,0.30,0.07,0.30,7,3,2,2,3,1,3,33.3,2,1,0,1,1,8,4,0
1134,1135,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,23-310,2000,6,2,234,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,11,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,2,2,1,1,0,1,3,33.3,2,3,0,3,2,4,2,0
1135,1136,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,26-338,1997,5,4,285,3.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,9,6,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.07,0.07,0.07,11,9,3,6,2,8,12,66.7,4,8,1,7,3,14,3,0
1136,1137,Ademola Lookman,ng NGA,"MF,FW",Atalanta,it Serie A,26-348,1997,3,2,216,2.4,2,1,3,1,1,1,0,0,2.2,1.4,0.7,2.0,12,9,35,0.83,0.42,1.25,0.42,0.83,0.90,0.28,1.18,0.57,0.85,5,3,4,1,0,2,3,66.7,1,5,0,5,0,5,0,0
1137,1138,David López,es ESP,DF,Girona,es La Liga,34-359,1989,7,6,577,6.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,31,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,3,0,1,0,2,1,3,33.3,2,11,5,6,4,7,26,1
1138,1139,Diego López,es ESP,"MF,FW",Valencia,es La Liga,22-142,2002,8,8,626,7.0,1,1,2,1,0,0,0,0,0.5,0.5,1.1,1.6,17,16,49,0.14,0.14,0.29,0.14,0.29,0.07,0.15,0.23,0.07,0.23,4,3,0,2,2,3,13,23.1,10,5,0,5,2,6,1,0
1139,1140,Fermin López,es ESP,MF,Barcelona,es La Liga,21-144,2003,3,0,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,2,2,1,0,1,1,3,33.3,2,1,0,1,1,3,0,0
1140,1141,Javi López,es ESP,DF,Real Sociedad,es La Liga,22-191,2002,6,5,469,5.2,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,12,19,12,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,11,5,6,4,1,5,8,62.5,3,4,1,3,1,12,15,1
1141,1142,Roberto López,es ESP,"MF,FW",Leganés,es La Liga,24-161,2000,5,2,242,2.7,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,1,12,5,0.00,0.37,0.37,0.00,0.37,0.03,0.20,0.23,0.03,0.23,6,4,3,3,0,4,11,36.4,7,4,0,4,1,7,6,1
1142,1143,Unai López,es ESP,"MF,FW",Rayo Vallecano,es La Liga,28-338,1995,8,5,417,4.6,2,0,2,2,0,0,3,0,0.2,0.2,0.0,0.2,5,25,10,0.43,0.00,0.43,0.43,0.43,0.05,0.00,0.05,0.05,0.05,4,2,1,1,2,2,7,28.6,5,5,1,4,10,14,6,0
1143,1144,Iker Losada,es ESP,"FW,MF",Betis,es La Liga,23-062,2001,4,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,4,7,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20,5,4,1,1,3,2,4,50.0,2,1,0,1,1,6,1,0
1144,1145,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,38-206,1986,4,3,280,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,1,6,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,7,7,3,4,0,3,8,37.5,5,8,2,6,6,13,5,0
1145,1146,Jordan Lotomba,ch SUI,"MF,DF",Nice,fr Ligue 1,26-003,1998,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
1146,1147,Tom Louchet,fr FRA,MF,Nice,fr Ligue 1,21-151,2003,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1147,1148,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,26-188,1998,6,4,311,3.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,7,17,8,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13,7,5,4,2,1,4,8,50.0,4,4,0,4,5,12,1,0
1148,1149,Pol Lozano,es ESP,MF,Espanyol,es La Liga,24-362,1999,5,4,305,3.4,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,20,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,9,6,4,4,1,5,9,55.6,4,3,2,1,1,10,4,0
1149,1150,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,24-022,2000,6,5,383,4.3,3,0,3,3,0,0,2,0,0.9,0.9,0.1,1.0,2,3,13,0.70,0.00,0.70,0.70,0.70,0.20,0.02,0.23,0.20,0.23,6,4,1,2,3,2,2,100.0,0,2,0,2,1,7,2,0
1150,1151,Jhon Lucumí,co COL,DF,Bologna,it Serie A,26-098,1998,5,3,304,3.4,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,4,16,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,5,3,4,1,0,3,6,50.0,3,6,3,3,3,8,11,0
1151,1152,José Luis Palomino,ar ARG,DF,Cagliari,it Serie A,34-271,1990,3,0,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,0,0,1,0,1,0.0,1,1,1,0,0,1,3,0
1152,1153,Douglas Luiz,br BRA,MF,Juventus,it Serie A,26-146,1998,5,1,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,8,9,4,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.25,0.01,0.25,4,2,2,2,0,3,4,75.0,1,2,0,2,1,5,0,0
1153,1154,Romelu Lukaku,be BEL,FW,Napoli,it Serie A,31-142,1993,4,3,259,2.9,2,2,4,2,0,0,1,0,1.4,1.4,0.4,1.8,3,4,33,0.69,0.69,1.39,0.69,1.39,0.48,0.14,0.62,0.48,0.62,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,4,0
1154,1155,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,21-290,2002,4,4,353,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,2,2,4,1,2,5,40.0,3,8,4,4,3,10,12,0
1155,1156,Dodi Lukebakio,be BEL,FW,Sevilla,es La Liga,27-008,1997,8,7,570,6.3,2,0,2,2,0,0,1,0,2.0,2.0,0.8,2.8,37,10,40,0.32,0.00,0.32,0.32,0.32,0.32,0.12,0.45,0.32,0.45,3,3,2,0,1,1,4,25.0,3,5,0,5,1,4,3,0
1156,1157,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,28-050,1996,6,6,457,5.1,0,0,0,0,0,0,4,0,0.0,0.0,0.3,0.3,4,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,9,6,4,4,1,1,11,9.1,10,4,3,1,7,16,4,0
1157,1158,Massimo Luongo,au AUS,MF,Ipswich Town,eng Premier League,32-007,1992,4,2,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,3,5,0,0,4,6,66.7,2,3,2,1,2,7,2,0
1158,1159,Sebastiano Luperto,it ITA,DF,Cagliari,it Serie A,28-026,1996,6,6,540,6.0,0,1,1,0,0,0,0,0,0.5,0.5,0.7,1.2,9,24,3,0.00,0.17,0.17,0.00,0.17,0.08,0.11,0.20,0.08,0.20,9,6,7,1,1,3,5,60.0,2,7,5,2,7,16,22,0
1159,1160,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,22-207,2002,6,6,447,5.0,0,1,1,0,0,0,0,0,0.8,0.8,0.8,1.7,14,9,40,0.00,0.20,0.20,0.00,0.20,0.17,0.16,0.33,0.17,0.33,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0
1160,1161,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,30-346,1993,4,4,325,3.6,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,4,22,10,0.00,0.28,0.28,0.00,0.28,0.01,0.05,0.06,0.01,0.06,4,1,2,2,0,2,6,33.3,4,1,1,0,3,7,11,0
1161,1162,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,25-226,1999,5,5,433,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,9,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,11,5,5,3,3,6,7,85.7,1,8,1,7,4,15,10,0
1162,1163,Othmane Maamma,fr FRA,FW,Montpellier,fr Ligue 1,18-362,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1163,1164,Ian Maatsen,nl NED,"DF,MF",Aston Villa,eng Premier League,22-206,2002,6,0,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.8,2,8,9,0.00,0.00,0.00,0.00,0.00,0.01,0.58,0.59,0.01,0.59,5,3,1,4,0,1,2,50.0,1,1,0,1,0,5,3,1
1164,1165,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,25-283,1998,6,6,509,5.7,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,8,35,12,0.00,0.00,0.00,0.00,0.00,0.03,0.17,0.20,0.03,0.20,17,13,6,11,0,11,22,50.0,11,15,0,15,3,20,7,0
1165,1166,Deiver Machado,co COL,DF,Lens,fr Ligue 1,31-030,1993,5,2,230,2.6,0,0,0,0,0,0,0,1,0.0,0.0,0.3,0.3,6,5,17,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,2,1,2,0,0,2,2,100.0,0,2,0,2,1,3,4,0
1166,1167,Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,de Bundesliga,25-002,1999,5,4,333,3.7,4,0,4,3,1,1,0,0,2.1,1.3,0.3,1.6,3,13,19,1.08,0.00,1.08,0.81,0.81,0.57,0.08,0.65,0.36,0.43,2,2,1,0,1,2,4,50.0,2,0,0,0,2,4,2,0
1167,1168,Darwin Machís,ve VEN,"FW,MF",Valladolid,es La Liga,31-238,1993,4,4,223,2.5,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,9,8,0.00,0.00,0.00,0.00,0.00,0.26,0.03,0.29,0.26,0.29,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,2,0
