,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Tackles Done,Tackles Won,Def 3rd Tackle,Mid 3rd Tackle,Att 3rd Tackle,Dribblers Tackled,Drib Tackle Attempt,Drib Tack Won%,Drib Tack Lost,Blocks Total,Shots Block,Pass Block,Intercept,Tack + Intercept,Clearance,Errors to shot
208,209,Raoul Bellanova,it ITA,DF,Torino,it Serie A,24-138,2000,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,0,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,0.11,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
209,210,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,24-138,2000,4,4,299,3.3,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,7,14,31,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.29,0.09,0.29,4,2,0,3,1,1,1,100.0,0,2,0,2,3,7,4,0
210,211,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,26-097,1998,6,6,388,4.3,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,11,5,19,0.23,0.00,0.23,0.23,0.23,0.07,0.05,0.12,0.07,0.12,6,4,2,2,2,2,3,66.7,1,5,0,5,4,10,1,0
211,212,Héctor Bellerín,es ESP,DF,Betis,es La Liga,29-197,1995,4,3,299,3.3,0,1,1,0,0,0,1,0,0.0,0.0,1.1,1.1,3,18,12,0.00,0.30,0.30,0.00,0.30,0.00,0.34,0.34,0.00,0.34,9,4,5,2,2,7,8,87.5,1,2,1,1,1,10,10,0
212,213,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,21-095,2003,4,4,350,3.9,0,1,1,0,0,0,1,0,0.3,0.3,0.9,1.2,15,33,23,0.00,0.26,0.26,0.00,0.26,0.08,0.22,0.31,0.08,0.31,11,8,6,3,2,6,7,85.7,1,8,0,8,6,17,3,0
213,214,Jeanuël Belocian,fr FRA,DF,Leverkusen,de Bundesliga,19-228,2005,2,1,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
214,215,Andrea Belotti,it ITA,FW,Como,it Serie A,30-287,1993,5,3,200,2.2,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,2,3,11,0.45,0.00,0.45,0.45,0.45,0.47,0.02,0.49,0.47,0.49,3,2,1,1,1,0,1,0.0,1,1,0,1,1,4,2,0
215,216,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,25-242,1999,6,5,412,4.6,1,0,1,1,0,0,0,0,0.2,0.2,0.6,0.8,8,25,6,0.22,0.00,0.22,0.22,0.22,0.04,0.13,0.17,0.04,0.17,10,5,5,4,1,5,6,83.3,1,2,0,2,3,13,6,0
216,217,Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,it Serie A,23-187,2001,3,1,89,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,7,9,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.21,0.20,0.21,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
217,218,Eliesse Ben Seghir,ma MAR,"FW,MF",Monaco,fr Ligue 1,19-229,2005,6,5,394,4.4,2,0,2,2,0,0,0,0,1.0,1.0,1.7,2.7,33,31,40,0.46,0.00,0.46,0.46,0.46,0.22,0.39,0.61,0.22,0.61,11,8,4,4,3,6,8,75.0,2,6,0,6,0,11,0,0
